fips,week,cm,cs,sm,ss
1001,1,4.0,24,14200,23
1003,1,3.94,26,14200,24
1005,1,3.9,25,14100,25
1007,1,4.19,24,16400,23
1009,1,4.18,25,16500,23
1011,1,4.03,26,15300,27
1013,1,3.96,25,14100,24
1015,1,3.96,26,12200,24
1017,1,3.96,25,12700,25
1019,1,4.07,26,14900,25
1021,1,4.1,24,15900,22
1023,1,4.11,25,18300,22
1025,1,3.94,25,15300,24
1027,1,4.05,25,15100,23
1029,1,4.26,23,17400,20
1031,1,3.91,26,13800,25
1033,1,3.9,24,11600,23
1035,1,4.03,26,15000,26
1037,1,4.15,26,15700,24
1039,1,3.98,24,13600,22
1041,1,4.22,21,15900,24
1043,1,4.01,24,13600,23
1045,1,3.99,26,13700,26
1047,1,3.82,26,12600,26
1049,1,4.05,24,13300,24
1051,1,4.11,24,15400,24
1053,1,3.9,27,13100,24
1055,1,3.94,25,11400,24
1057,1,4.07,22,16000,19
1059,1,4.04,24,14300,21
1061,1,4.14,23,15700,22
1063,1,4.09,28,15200,27
1065,1,4.18,25,17100,23
1067,1,4.17,23,17200,22
1069,1,3.9,24,11900,23
1071,1,4.0,26,13700,26
1073,1,3.93,25,10700,25
1075,1,4.15,21,15400,19
1077,1,3.97,23,12100,22
1079,1,4.12,24,15300,22
1081,1,3.97,23,15700,22
1083,1,4.03,26,13400,26
1085,1,4.24,27,18200,25
1087,1,4.11,28,16000,30
1089,1,3.92,27,10800,26
1091,1,3.88,26,14700,25
1093,1,3.97,23,14400,20
1095,1,3.94,25,11900,25
1097,1,3.93,26,10600,26
1099,1,3.93,25,15400,22
1101,1,3.88,25,10600,27
1103,1,3.89,25,11600,25
1105,1,4.08,24,15700,23
1107,1,4.17,24,16600,23
1109,1,3.98,22,14400,23
1111,1,4.03,26,15600,23
1113,1,3.95,27,12400,28
1115,1,4.11,24,15500,22
1117,1,3.97,25,13400,24
1119,1,4.1,25,16200,25
1121,1,3.97,25,13300,25
